Feedback Statistics Based on Demographics,,,,,,,,,,,
REQ#,Name,Email Address,Phone Number ,Gender,Birthday,Country,State,Feedback,Satisfaction Rating,,
10003,Adam Andrews,adamandrews@gmail.com,11234567890,Male,1/1/1958,USA,Texas,"I was disappointed when I found out they served Dasani water, but my trip was otherwise great.",Good,,
10004,Beth Benjamin,bb123@aol.com, 11472583690,Female,2/19/1988,United Kingdom,,My flight was awesome! ?,Excellent,,
10005,Charlie Cordon,supremehypebeast@gmail.com,18888888888,Male,10/26/2001,USA,Mississippi,Dasani sucks! We want FIJI water.,Fair,,
10006,Danny Daniels,datdudedan@gmail.com,18608608600,Male,10/26/1987,USA,Nevada,Awesome trip! Flight attendants were nice! But ditch the Dasani water!,Excellent,,
10007,Eric Erickson,eeevirus@sbcglobal.net,13257774568,Male,11/9/1993,Bahamas,,I’ve never had a bad experience on JetBlue. I usually love this airline. But when I asked for water and they brought me back a DASANI I was devastated.,Average,,4
10008,Fred Fahard,fredlovesfries@gmail.com,12038564477,Male,4/23/1958,USA,California,I am loyal to JetBlue! Love this airline!,Excellent,,
10009,Gladys Gibson,gibbygoober@gmail.com, 14446587885,Female,4/27/1945,USA,Florida,"I typically love JetBlue, but Dasani water? Really? What a shame...",Good,,
10010,Hillary Hasslehoff,hasslehoffh@my.easternct.edu,14562228564,Female,8/14/1999,USA,Connecticut,"Customer service was great. Clean, accommodating. But they need to get rid of that nasty Dasani.",Good,,
10011,Inez Iglesias,inezisincredible@gmail.com,17714115116,Female,10/26/2000,Chile,,JetBlue always impressive!! Love this company.,Excellent,,
10012,Jane Jetson,jetsonfamily@aol.com,15063337485,N/A,11/13/1983,Bulgaria,,JetBlue rocks. Dasani rots in hell.,Average,,
10013,Kelly Korban,korbeez@gmail.com,18886654442,Female,3/13/1976,Demark,,JetBlue is my true love.,Average ,,
10014,Linda Lemon,whenlifegivesyoulemons@gmail.com,17562338855,Female,9/1/1945,USA,Michigan,JetBlue is impressive and awesome.,Excellent,,
10015,Melissa Mansuroglu,mandm@gmail.com,15522358844,Female,10/26/1988,Turkey,,Love how clean the planes are!,Good,,
10016,Nina Noob,iwantadog@aol.com,18605763322,Female,10/13/1987,Austrailia,,The flight attendants are so accomodating!,Excellent,,
10017,Olga Osborne,obsborneolga@sbcglobal.net,15534461122,Female,10/6/1960,USA,Colorado,Go JetBlue! You rock!,Excellent,,
10018,Penelope Phillips,phpisconfusing@gmail.com,14428374776,Female,4/20/1997,USA,Connecticut,Just love JetBlue!,Good,,
10019,Quinn Quaryy,helloworld@gmail.com,15528857744,Male,10/25/2000,Albania,,Amazing customer experience!,Excellent,,
10020,Ronnie Rambo,ramboron@gmail.com,14756652223,Male,10/26/2006,USA ,Wyoming ,JetBlue is always very impressive.,Excellent,,
10021,Stacy Splenda,splendas@splenda.org,16908874523,Female,8/17/2005,Greece,,Wow ! I am thrilled with the awesome experience I had on my first JetBlue flight.,Excellent,,
10022,Tony Tiger,kelogsfflakes@gmail.com,15367426558,Male,7/21/1968,USA,Montana,I love JetBlue jets.,Good,,
10023,Kyle Hanson,hansonk@comcast.net,12038602038,Transgender,4/23/1990,Germany,,Amazing flight. No delays. 10/10 will fly again.,Excellent,,
10024,Kim Sebastian,kimmy13@gmail.com,11986451666,Female,7/13/1963,Egypt,,The flight was good but the Dasani? Really Dasani sucks.,Good,,
10025,Lizzie Blake,balakelizz@hotmail.com,19465864556,Female,12/8/1947,USA,Georgia,Can’t you get funding for a water brand that’s not Dasani?,Average,,
10026,Devin Peck,peckerd@aol.com,13469539782,Transgender,11/30/1997,Ireland,,Flight attendants were so nice! But they only had Dasani and that sucks!,Fair,,
10027,Michael Jones,mj1872@comcast.net,19468253481,Transgender,9/13/1974,Mexico,,"I hate Dasani so much that if I had to chose between drinking my own piss and drinking Dasani, I would chose my piss. But the flight was okay.",Fair,,
10028,Lilo McDonald,mickyds@icloud.com,18062038062,Female,10/26/2019,USA,Hawaii,The flight was great until I asked for some water. I was very disappointed when I was given Dasani. Literally anything else is better.,Good,,
10029,Yasmeni Fogón,fogony@aol.com,19464648649,Female,10/16/1979,United Kingdom,,Dasani sucks and so did the flight,Poor,,
10030,Hanna Terra,hannat@gmail.com,18605554355,Female,11/28/1980,Colombia,,"I love JetBlue, but unfortunately the Dasani water was gross. I wish JetBlue served something better!",Excellent,,
10031,Laura Lee,llee123@aol.com,18547521155,Transgender,6/18/1967,Belize,,JetBlue please discontinue use of Dasani.,Excellent,,
10032,Tobi Eastern,tobiecsu@my.easternct.edu,18603334658,Female,7/12/1983,USA,Connecticut,Come on JB. Dasani? That J V.,Fair,,
10033,Miriam Espino,mespino246@sbcglobal.net,11236547890,Female ,10/5/1969,USA,Georgia,STOP WITH THE DASANI.,Poor,,
10034,Yale Hack,hackhackhacky@gmail.com,18065671144,Transgender,11/29/2000,USA,Connecticut,Let’s ditch the Dasani and code in some smart water.,Good ,,
10035,Sam Flint,samf99@sbcglobal.net,15554447778,Male ,1/20/1984,Cambodia,,No. More. Dasani.,Excellent,,
10036,Claire Mimosa,hydroflasksksksk@gmail.com,16524410825,Female,1/28/2003,Greenland,,I love JetBlue! My only criticism is the brand of water. Dasani is unfortunate.,Average ,,
10037,Harry Jacobs,harryj@gmail.com,14653228561,Male ,6/6/1993,Cambodia,,Usually I give JetBlue great reviews but they switched to Dasani so now I’m going to southwest.,Fair,,
10038,Blondie McNeal,blondie@gmail.com,18243336214,Male,3/6/1985,USA,Massachusetts,No. Stop. Dasani is nasty.,Good,,
10039,Sarah Wang,wangsksksk@aol.com,11234569988,Female,8/5/1996,China,,"Dasani is gross, but JetBlue rocks!",Excellent,,
10040,Ellie Floss,flossy@gmail.com,18685443331,Female,10/8/1999,USA,Connecticut,Please switch to Poland Springs. Anything but Dasani.,Average,,
10041,Das Ani,DanAni57@aol.com,18604413388,Male,9/9/1994,Canada,,Even I hate Dasani!,Fair,,
10042,Kim Lewis,lewiskim@gmail.com,14656815566,Transgender,10/30/1994,Latvia,,JetBlue is the best airline out there!,Excellent,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
